"Auteur";"Identifiant auteur";"Titre";"Directeur de these";"Directeur de these (nom prenom)";"Identifiant directeur";"Etablissement de soutenance";"Identifiant etablissement";"Discipline";"Statut";"Date de premiere inscription en doctorat";"Date de soutenance";"Langue de la these";"Identifiant de la these";"Accessible en ligne";"Publication dans theses.fr";"Mise a jour dans theses.fr";
Lucie-Emmanuelle Drevet-Démettre;190418400;Quand l'aéroport devient ville : géographie d'une infrastructure paradoxale;Bernard Calas;Calas Bernard;033789185;Bordeaux 3;027548392;Géographie humaine;soutenue;;11-09-2015;fr;2015BOR30028;oui;26-09-2011;16-06-2017;
Angeline Chartier;193515512;Transferts et appropriations de modèles de développement dans les pays du Sud : pour une analyse du (dys)fonctionnelment de l'aide : l'exemple de la décentralisation en Haïti et à Madagascar;Isabelle Sacareau;Sacareau Isabelle;035187824;Bordeaux 3;027548392;Géographie humaine;soutenue;;12-01-2016;fr;2016BOR30001;oui;26-09-2011;19-06-2017;
Said Ali Said Ahmed;191585890;L'archipel des Comores : milieu insulaire et géopolitique;Michel Lesourd;Lesourd Michel;03432738X;Bordeaux 3;027548392;Géographie Tropicale;soutenue;;23-09-2015;fr;2015BOR30052;non;26-09-2011;11-04-2017;
Boubacar Haidara;193219735;Les formes d'articulation de l'islam et de la politique au Mali;Christian Bouquet;Bouquet Christian;026744678;Bordeaux 3;027548392;Géographie humaine;soutenue;;18-12-2015;fr;2015BOR30068;oui;09-02-2012;16-06-2017;
Rémi Bercovitz;193963884;Paysage, médiation paysagère et "bon état écologique" de la haute vallée de la Sèvre niortaise : mener une enquête historique pour fonder un projet partagé (XVIIIème -XXIème siècles);Mayté Banzo;Banzo Mayté;052844366;Bordeaux 3;027548392;Géographie humaine;soutenue;;09-12-2015;fr;2015BOR30051;oui;29-02-2012;16-06-2017;
Jean-Pierre Ducos;077714245;L’efficacité environnementale des documents d’urbanisme : les Schémas de Cohérence Territoriale : échelle nationale et locale : le cas du Maine-et-Loire;Jean Soumagne;Soumagne Jean;028316460;Angers;026402920;Géographie physique;soutenue;;31-03-2015;fr;2015ANGE0036;oui;15-11-2012;24-02-2017;
Jeanne Lafon-Boudier de la Valleinerie;194628205;Qualité sonore des parcs et jardins urbains. Caractérisation de la qualité sonore de six parcs et jardins d'Ile de France;Didier Desponds,Catherine Lavandier;Desponds Didier,Lavandier Catherine;079586546,139467238;Cergy-Pontoise;03463486X;Géographie - Cergy;soutenue;;25-11-2015;fr;2015CERG0785;oui;15-05-2013;24-08-2016;
Marion Berzin;19465348X;Bruxelles et la crise de l'Etat-nation belge : de la ville-capitale à la métropole en réseau;Guy Di Méo,Eric Corijn,David Bassens;Di Méo Guy,Corijn Eric,Bassens David;028300858,139934413,194654427;Bordeaux 3;027548392;Géographie humaine;soutenue;;10-05-2016;fr;2016BOR30010;non;26-09-2011;19-06-2017;
Alexis Delabouglise;186415826;Les enjeux territoriaux de la surveillance de la santé animale : le cas de l’influenza aviaire hautement pathogène au Viet Nam et en Thaïlande;Gérard Salem;Salem Gérard;083154922;Paris 10;026403587;Géographie économique;soutenue;;15-10-2015;fr;2015PA100181;oui;16-04-2012;08-07-2016;
Frédérique Célérier;201045273;Vins et vignerons biologiques en France, une approche territoriale : les exemples du Bordelais et de la Vallée du Rhône;Mayté Banzo;Banzo Mayté;052844366;Bordeaux 3;027548392;Géographie humaine;soutenue;;08-12-2016;fr;2016BOR30054;oui;29-02-2012;31-05-2017;
Alexandru Dragan;199122288;Emergence et structuration de l'économie sociale et solidaire en Roumanie;Sébastien Fleuret;Fleuret Sébastien;069245630;Angers;026402920;Géographie Humaine;soutenue;;09-09-2016;fr;2016ANGE0008;oui;30-10-2012;03-03-2017;
Aziza Ibrahim Sayed Awad;13305764X;Parcours géographiques au travers de quelques oeuvres romanesques de Patrick Modiano : une géographie-littéraire;Hélène Velasco-Graciet;Velasco-Graciet Hélène;074137050;Bordeaux 3;027548392;Géographie humaine;soutenue;;19-03-2016;fr;2016BOR30008;non;09-02-2016;13-06-2017;
Marion Christina Bourhis;199230145;Analyse des processus d’engagement dans un projet de territoire : exemple de l’ « économie turquoise » dans les Côtes-d’Armor;Frédérique Chlous-Ducharme;Chlous-Ducharme Frédérique;166954837;Lorient;05017746X;Géographie, aménagement;soutenue;;12-07-2016;fr;2016LORIL407;non;13-03-2017;13-03-2017;
Ezept Valmo Kimitene;20418374X;Ethnicisation du commerce à N'Djamena;Denis Retaillé;Retaillé Denis;031398103;Bordeaux 3;027548392;Géographie humaine;soutenue;;23-09-2013;fr;2013BOR30063;oui;26-09-2011;10-10-2017;
Amandine Gatien-Tournat;176352570;Spécificités de l'agriculture dans les vallées principales du bassin versant de la Maine;Jeannine Corbonnois,François Laurent;Corbonnois Jeannine,Laurent François;061649945,076604683;Le Mans;026404435;Géographie physique;soutenue;;16-09-2013;fr;2013LEMA3003;oui;26-09-2011;11-07-2017;
Nathalie Buchot;166510599;La mobilité contextuelle à l’épreuve de la mobilité résidentielle contrainte : dans le cadre de la rénovation urbaine des quartiers d’habitat social à Angers et à Trélazé;Jacques Chevalier,Rodolphe Dodier;Chevalier Jacques,Dodier Rodolphe;033837651,081174667;Le Mans;026404435;Géographie sociale;soutenue;;07-12-2012;fr;2012LEMA3005;oui;04-01-2013;04-01-2013;
Belgacem Tahchi;18958064X;Géopolitique de la Sonatrach : entre internationalisation diffuse et souveraineté en déclin;Michel Korinman;Korinman Michel;02928676X;Paris 4;026403633;Géographie politique;soutenue;;07-04-2015;fr;2015PA040098;non;27-05-2015;25-10-2017;
Abdelkarim Boujelben;194343502;L'hydrosystème des sebkhas al Kalbiyya et Halq al Minjil : dynamiques hydro-morphosédimentaires, paléoenvironnements et évolution des paysages pendant l’holocène;Olivier Maquaire,Mohamed Raiouf Karray;Maquaire Olivier,Karray Mohamed Raiouf;03137221X,19434357X;Caen;026403064;Géographie physique;soutenue;;01-01-2015;fr;2015CAEN1034;non;24-11-2015;28-11-2017;
Marie Pendanx;177514450;Cultures locales et identités : l’exemple des pays du Sud Sud-Ouest landais (France);Guy Di Méo;Di Méo Guy;028300858;Bordeaux 3;027548392;Géographie humaine;soutenue;;04-12-2013;fr;2013BOR30021;oui;26-09-2011;05-06-2017;
Antoaneta-Carina Popescu;19388321X;La mise en valeur du potentiel touristique dans les Souscarpates situées entre la rivière Olt et la rivière Motru.;Vincent Vlès;Vlès Vincent;028278046;Pau;026403668;Géographie Aménagement;soutenue;;12-10-2015;fr;2015PAUU1010;oui;23-02-2012;21-06-2016;
Delon Madavan;130056081;Les minorités tamoules à Colombo, Kuala Lumpur et Singapour : minorités, intégrations socio-spatiales et transnationalités;Olivier Sevin;Sevin Olivier;052195392;Paris 4;026403633;Géographie physique;soutenue;;26-09-2013;fr;2013PA040072;non;26-09-2011;01-04-2017;
Josselin Tallec;191780758;La construction socio-spatiale de l’innovation en ville moyenne face aux objectifs de compétitivité et d’attractivité des politiques d’aménagement : les cas des agglomérations d’Albi (Midi-Pyrénées), Alès (Languedoc-Roussillon), Fougères et Quimper (Bretagne);François Taulelle,Guy Baudelle;Taulelle François,Baudelle Guy;085791989,028253965;Toulouse 2;026403994;Géographie. Aménagement;soutenue;;29-09-2014;fr;2014TOU20063;oui;26-09-2011;07-03-2016;
Jean-Christophe Poussin;073982172;Fonctionnement des marchés et évolution des formes d’habitat dans les territoires à faible tension foncière en Bretagne;Guy Baudelle;Baudelle Guy;028253965;Rennes 2;054447658;Géographie. Aménagement;soutenue;;03-10-2014;fr;2014REN20022;non;18-12-2014;18-12-2014;
Clément Marinos;190939575;Le développement des entreprises et des territoires en ville moyenne analysé au prisme des réseaux : le cas de la Bretagne Sud;Guy Baudelle,Gerhard Krauss;Baudelle Guy,Krauss Gerhard;028253965,180371010;Rennes 2;054447658;Géographie. Aménagement;soutenue;;09-12-2015;fr;2015REN20041;oui;01-02-2016;13-09-2017;
Moustapha Cissé Fall;202408620;Gestion foncière et décentralisation au Sénégal dans le contexte des acquisitions foncières à grande échelle : le cas de la commune de Ngnith dans le département de Dagana;Christian Bouquet,Sidy Mohamed Seck;Bouquet Christian,Seck Sidy Mohamed;026744678,031093094;Bordeaux 3;027548392;Géographie humaine;soutenue;;04-01-2017;fr;2017BOR30001;oui;09-02-2012;10-01-2018;
Julien Batisse;19160755X;Responsabilité sociétale et ancrage territorial d'une entreprise de services urbains : le cas de Lyonnaise des Eaux;Denis Retaillé;Retaillé Denis;031398103;Bordeaux 3;027548392;Géographie humaine;soutenue;;10-07-2015;fr;2015BOR30049;oui;26-09-2011;18-01-2018;
Didier Soto;16962272X;Analyse géographique des changements climatiques des surfaces continentales de l'espace Nord-Atlantique pendant le Tardiglaciaire würmien;Jacques Comby;Comby Jacques;059632992;Lyon 3;026404494;Géographie physique;soutenue;;03-12-2012;fr;2012LYO30080;oui;26-09-2011;25-01-2018;
Catherine Lavaine;174224389;Evaluation des capacités biotechniques de boutures de Salicaceae et Tamaricaceae sur un gradient de sécheresse;Hervé Piégay,André Evette;Piégay Hervé,Evette André;07033174X,11816774X;Lyon, Ecole normale supérieure;149154992;Géographie physique;soutenue;;12-11-2013;fr;2013ENSL0851;oui;26-09-2011;25-01-2018;
Agnès Renard-Toumi (Renard);176980962;Mares et plaines alluviales du Niger supérieur et de ses affluents (Guinée, Mali). Hydrodynamique et ressources associées;Michel Mietton,Luc Ferry;Mietton Michel,Ferry Luc;034015159,032170513;Lyon 3;026404494;Géographie physique;soutenue;;15-11-2013;fr;2013LYO30063;non;26-09-2011;25-01-2018;
Laïla Amraoui;177122412;Variabilités climatiques régionales et changement global : cas de l'évolution climatique récente au Maroc, en Mauritanie et sur leur proche océan;Jacques Comby;Comby Jacques;059632992;Lyon 3;026404494;Geographie amenagement;soutenue;;29-11-2013;fr;2013LYO30069;oui;02-04-2013;25-01-2018;
Jérémy Meynet;19715171X;La gestion du transport de marchandises dangereuses sur des sites à forte concentration : évaluation des risques liés au stationnement des marchandises dangereuses par l'étude de dangers;Jacques Comby,Thierry Saint-Gérand;Comby Jacques,Saint-Gérand Thierry;059632992,088524213;Lyon;190915757;Géographie - Aménagement;soutenue;;13-05-2016;fr;2016LYSE3017;non;26-09-2011;25-01-2018;
Gérard Benso;198703759;Les transports maritimes et aériens de la Corse : la continuité territoriale;Henri Rougier;Rougier Henri;02711144X;Lyon;190915757;Géographie - Aménagement;soutenue;;07-12-2016;fr;2016LYSE3076;oui;26-09-2011;25-01-2018;
Andrea Salinas Rojas;198590180;Dynamiques territoriales dans la gestion des ressources forestières des espaces protégés du Mexique : le cas du Nevado de Toluca;Michel Mietton;Mietton Michel;034015159;Lyon;190915757;Géographie - Aménagement;soutenue;;25-10-2016;fr;2016LYSE3051;non;26-09-2011;25-01-2018;
Jeffrey Blain;197989462;Géographie et santé environnementale : méthodologie d'évaluation des expositions aux pesticides;Jacques Bonnet;Bonnet Jacques;028954327;Lyon;190915757;Geographie amenagement;soutenue;;14-09-2016;fr;2016LYSE3036;non;15-03-2012;25-01-2018;
Cécilia Comelli;190950463;Mutations urbaines et géographie de la nuit à Bordeaux;Hélène Velasco-Graciet;Velasco-Graciet Hélène;074137050;Bordeaux 3;027548392;Géographie humaine;soutenue;;19-06-2015;fr;2015BOR30040;non;26-09-2011;16-06-2017;
Emeline Comby;191905518;Pour qui l'eau ? Les contrastes spatio-temporels des discours sur le Rhône (France) et le Sacramento (Etats-Unis);Hervé Piégay;Piégay Hervé;07033174X;Lyon 3;026404494;Géographie aménagement;soutenue;;01-12-2015;fr;2015LYO30043;oui;29-03-2012;25-01-2018;
Pierre-Henri Drevet;178188077;Approche géographique des risques d'émergence de maladies virales en Afrique forestière équatoriale : le VIH-1 au sud-est du Cameroun;Serge Morin;Morin Serge;05753909X;Bordeaux 3;027548392;Géographie Tropicale;soutenue;;13-09-2012;fr;2012BOR30083;oui;15-07-2015;27-05-2016;
Lydia Waithira Muthuma;190390581;Political Identity in Nairobi’s Central Business District (CDB) : an æsthetic critique;Bernard Calas;Calas Bernard;033789185;Bordeaux 3;027548392;Géographie humaine;soutenue;;14-01-2013;en;2013BOR30062;oui;13-06-2017;28-06-2017;
Ariane Sakhy;19648930X;Ilots de chaleur et morphologie urbaine de l'agglomération parisienne : conséquences sur la mortalité durant la canicule de 2003;Gérard Beltrando,Malika Hélène Madelin;Beltrando Gérard,Madelin Malika Hélène;034261958,086825615;Université Sorbonne Paris Cité;19077990X;Géographie et environnement;soutenue;;01-01-2016;fr;2016USPCC042;non;16-11-2016;16-11-2016;
Anne-Laure Lereboullet;18109679X;Vulnérabilité et capacité d'adaptation au changement climatique de deux systèmes vitivinicoles méditérranéens : un cas d'étude comparatif France (Roussillon)- Australie (McLaren Vale);Gérard Beltrando;Beltrando Gérard;034261958;Paris 7;027542084;Géographie et environnement;soutenue;;01-01-2014;fr;2014PA070022;non;15-04-2013;29-11-2016;
José Luis San Emeterio Cabañes;196807492;Désertification ou reverdissement ? Etude multiscalaire de l'évolution du couvert végétal en Afrique Sahélienne à partir de données de télédétection;Catherine Mering,Benjamin Sultan;Mering Catherine,Sultan Benjamin;070549362,070438439;Sorbonne Paris Cité;19077990X;Géographie et environnement;soutenue;;01-01-2015;fr;2015USPCC079;non;18-01-2017;17-01-2017;
Muntaser Al Hersh;194117103;Les relations entre les pays du Conseil de Coopération du Golfe et les puissances asiatiques : approches géopolitique et géostratégique;Philippe Cadène;Cadène Philippe;070122369;Sorbonne Paris Cité;19077990X;Géographie du développement;soutenue;;01-01-2015;fr;2015USPCC046;non;18-01-2017;17-01-2017;
Armel Mouloungui;178729760;Gouvernance des ressources forestières au gabon : acteurs et enjeux;Jean-Marc Zaninetti;Zaninetti Jean-Marc;035467169;Orléans;026402971;Géographie - aménagement - environnement;soutenue;;30-01-2014;fr;2013ORLE1131;oui;26-09-2011;17-02-2017;
Anh Tu Ngo;178727091;Evaluation environnementale du risque d'inondation dans le delta du fleuve Ha Thanh (centre Viêt-Nam);Jean-Marc Zaninetti;Zaninetti Jean-Marc;035467169;Orléans;026402971;Géographie - aménagement - environnement;soutenue;;19-02-2014;fr;2013ORLE1129;oui;11-06-2014;17-02-2017;
Claudia Márquez Thomas;19977188X;Les oliveraies de montagne de la Sierra de Cadix (Andalousie occidentale, Espagne) : évolution récente (1956-2001) et enjeux de conservation d'un paysage agraire méditerranéen traditionnel;Marianne Cohen;Cohen Marianne;059256753;Sorbonne Paris Cité;19077990X;Géographie et Environnement;soutenue;;01-01-2015;fr;2015USPCC281;non;04-04-2017;03-04-2017;
Ibrahima Dione;17673080X;Polarisation des structures de soins de la Haute Casamance : entre construction nationale des systèmes de santé et recours aux soins transfrontalier;Sébastien Fleuret,Christian Pihet;Fleuret Sébastien,Pihet Christian;069245630,085794422;Angers;026402920;Géographie de la santé;soutenue;;01-01-2013;fr;2013ANGE0022;oui;26-09-2011;07-04-2017;
Lucile Etienne;181449870;Accentuation récente de la vulnérabilité liée au recul du trait de côte et à l'extension des sebkhas dans l'archipel de Kerkennah (Tunisie);Gérard Beltrando,Abdelkarim Daoud;Beltrando Gérard,Daoud Abdelkarim;034261958,181449781;Paris 7;027542084;Géographie et environnement;soutenue;;01-01-2014;fr;2014PA070024;non;29-10-2014;27-04-2017;
Elodie Faure;175121192;"Hautes terres" : l'anthropisation des monts d’Aubrac et du Lévezou (Massif Central, France) durant l’holocène : approche palynologique des dynamiques socio-environnementales en moyenne montagne;Jean-Paul Métailié,Didier Galop;Métailié Jean-Paul,Galop Didier;027025462,035586850;Toulouse 2;026403994;Géographie et aménagement;soutenue;;17-09-2012;fr;2012TOU20087;oui;26-09-2011;19-02-2016;
Jihad Merhi;178054771;Beyrouth : entre risque et sécurité. Une géopolitique urbaine d'une ville sous tension;Michael F. Davie;Davie Michael F.;08610571X;Paris 4;026403633;Géographie politique et géopolitique;soutenue;;10-01-2013;fr;2013PA040084;non;26-09-2011;01-04-2017;
Jérôme Dutozia;172132894;Espaces à enjeux et effets de réseaux dans les systèmes de risques : Région Provence-Alpes-Côte d’Azur, Département du Var, Métropole de Marseille et Métropole de Barcelone;Christine Voiron-Canicio;Voiron-Canicio Christine;029208270;Nice;026403498;Geographie et aménagement;soutenue;;25-01-2013;fr;2013NICE2026;oui;26-09-2011;08-03-2017;
Sarah Montero;172520568;Participation citoyenne et développement culturel : référentiels d'action à Bordeaux et à Québec;Jean-Pierre Augustin;Augustin Jean-Pierre;026696509;Bordeaux 3;027548392;Géographie humaine et régionale;soutenue;;21-05-2013;fr;2013BOR30003;oui;26-09-2011;05-06-2017;
Anne Pétillot (Curvale);081872682;La reconversion des anciens hôpitaux, un enjeu pour les centres hospitaliers et les métropoles françaises : expériences comparées à Lyon, Marseille, Montpellier, Paris, Poitiers et Saint-Etienne;Gérard-François Dumont;Dumont Gérard-François;026843188;Paris 4;026403633;Géographie, aménagement du territoire;soutenue;;31-01-2013;fr;2013PA040025;non;17-10-2012;01-04-2017;
Nicolas Maestripieri;170655946;Dynamiques spatio-temporelles des plantations forestières industrielles dans le sud chilien : de l'analyse diachronique à la modélisation prospective;Martin Paegelow,Gilles Selleron;Paegelow Martin,Selleron Gilles;083201432,028617037;Toulouse 2;026403994;Géographie et aménagement;soutenue;;11-12-2012;fr;2012TOU20137;oui;15-07-2013;18-02-2016;
Gisèle Lila Miyagou;175044902;La gestion des risques industriels : l'exemple de l'île Mandji au Gabon;Helga-Jane Scarwell;Scarwell Helga-Jane;083986022;Lille 1;026404184;Géographie et Aménagement;soutenue;;19-06-2013;fr;2013LIL10036;non;26-09-2011;15-12-2015;
